NOX,INDUS
0.538,2.31
0.469,7.07
0.469,7.07
0.458,2.18
0.458,2.18
0.458,2.18
0.524,7.87
0.524,7.87
0.524,7.87
0.524,7.87
0.524,7.87
0.524,7.87
0.524,7.87
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.538,8.14
0.499,5.96
0.499,5.96
0.499,5.96
0.499,5.96
0.428,2.95
0.428,2.95
0.448,6.91
0.448,6.91
0.448,6.91
0.448,6.91
0.448,6.91
0.448,6.91
0.448,6.91
0.448,6.91
0.448,6.91
0.439,5.64
0.439,5.64
0.439,5.64
0.439,5.64
0.41,4.0
0.403,1.22
0.41,0.74
0.411,1.32
0.453,5.13
0.453,5.13
0.453,5.13
0.453,5.13
0.453,5.13
0.453,5.13
0.4161,1.38
0.398,3.37
0.398,3.37
0.409,6.07
0.409,6.07
0.409,6.07
0.413,10.81
0.413,10.81
0.413,10.81
0.413,10.81
0.437,12.83
0.437,12.83
0.437,12.83
0.437,12.83
0.437,12.83
0.437,12.83
0.426,4.86
0.426,4.86
0.426,4.86
0.426,4.86
0.449,4.49
0.449,4.49
0.449,4.49
0.449,4.49
0.489,3.41
0.489,3.41
0.489,3.41
0.489,3.41
0.464,15.04
0.464,15.04
0.464,15.04
0.445,2.89
0.445,2.89
0.445,2.89
0.445,2.89
0.445,2.89
0.52,8.56
0.52,8.56
0.52,8.56
0.52,8.56
0.52,8.56
0.52,8.56
0.52,8.56
0.52,8.56
0.52,8.56
0.52,8.56
0.52,8.56
0.547,10.01
0.547,10.01
0.547,10.01
0.547,10.01
0.547,10.01
0.547,10.01
0.547,10.01
0.547,10.01
0.547,10.01
0.581,25.65
0.581,25.65
0.581,25.65
0.581,25.65
0.581,25.65
0.581,25.65
0.581,25.65
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.624,21.89
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.871,19.58
0.605,19.58
0.605,19.58
